x,t,u
-0.0625,0.06,0.944411874
-0.03125,0.06,0.968171216
0,0.06,0.985671474
0.03125,0.06,0.996302432
0.0625,0.06,0.999306069
0.09375,0.06,0.994935777
0.125,0.06,0.982231188
0.15625,0.06,0.961448408
0.1875,0.06,0.932730063
0.21875,0.06,0.896511181
0.25,0.06,0.853488361
0.28125,0.06,0.804607043
0.3125,0.06,0.751023802
0.34375,0.06,0.694045765
0.375,0.06,0.635053271
0.40625,0.06,0.575415811
0.4375,0.06,0.516412748
0.46875,0.06,0.45916889
0.5,0.06,0.404611255
0.53125,0.06,0.353448764
0.5625,0.06,0.306172561
0.59375,0.06,0.26307215
0.625,0.06,0.224261681
0.65625,0.06,0.189711152
0.6875,0.06,0.159278416
0.71875,0.06,0.132739222
0.75,0.06,0.109813709
0.78125,0.06,0.090188669
0.8125,0.06,0.073535527
0.84375,0.06,0.05952433
0.875,0.06,0.047834219
0.90625,0.06,0.038160922
0.9375,0.06,0.030221787
0.96875,0.06,0.023758827
1,0.06,0.0185402
1.03125,0.06,0.014360478
1.0625,0.06,0.011040002
1.09375,0.06,0.008423581
1.125,0.06,0.006378734
1.15625,0.06,0.004793653
1.1875,0.06,0.003575025
1.21875,0.06,0.002645815
1.25,0.06,0.001943109
1.28125,0.06,0.001416064
1.3125,0.06,0.001024021
1.34375,0.06,0.000734799
1.375,0.06,0.000523188
1.40625,0.06,0.000369633
1.4375,0.06,0.000259123
1.46875,0.06,0.000180243
1.5,0.06,0.000124402
1.53125,0.06,8.52E-05
1.5625,0.06,5.79E-05
1.59375,0.06,3.90E-05
1.625,0.06,2.61E-05
1.65625,0.06,1.73E-05
1.6875,0.06,1.14E-05
1.71875,0.06,7.46E-06
1.75,0.06,4.84E-06
1.78125,0.06,3.11E-06
1.8125,0.06,1.99E-06
1.84375,0.06,1.26E-06
1.875,0.06,7.91E-07
1.90625,0.06,4.93E-07
1.9375,0.06,3.05E-07
1.96875,0.06,1.87E-07
2,0.06,1.31E-07
-2,0.07,1.33E-07
-1.96875,0.07,1.88E-07
-1.9375,0.07,3.06E-07
-1.90625,0.07,4.95E-07
-1.875,0.07,7.93E-07
-1.84375,0.07,1.26E-06
-1.8125,0.07,1.99E-06
-1.78125,0.07,3.12E-06
-1.75,0.07,4.85E-06
-1.71875,0.07,7.48E-06
-1.6875,0.07,1.14E-05
-1.65625,0.07,1.74E-05
-1.625,0.07,2.62E-05
-1.59375,0.07,3.91E-05
-1.5625,0.07,5.80E-05
-1.53125,0.07,8.53E-05
-1.5,0.07,0.000124559
-1.46875,0.07,0.000180444
